account_number,name,type,parent_account_number,hierarchy_level,is_detail_account,is_standard,chart_version
1,Tillgångar,asset,,1,0,1,2025
10,Immateriella anläggningstillgångar,asset,1,2,0,1,2025
101,Utvecklingsutgifter,asset,10,3,0,1,2025
1010,Utvecklingsutgifter,asset,101,4,1,1,2025
1011,Balanserade utgifter för forskning och utveckling,asset,101,4,1,1,2025
1012,Balanserade utgifter för programvaror,asset,101,4,1,1,2025
1018,Ackumulerade nedskrivningar på balanserade utgifter,asset,101,4,1,1,2025
1019,Ackumulerade avskrivningar på balanserade utgifter,asset,101,4,1,1,2025
102,Koncessioner m.m.,asset,10,3,0,1,2025
1020,Koncessioner m.m.,asset,102,4,1,1,2025
1028,Ackumulerade nedskrivningar på koncessioner m.m.,asset,102,4,1,1,2025
1029,Ackumulerade avskrivningar på koncessioner m.m.,asset,102,4,1,1,2025
103,Patent,asset,10,3,0,1,2025
1030,Patent,asset,103,4,1,1,2025
1038,Ackumulerade nedskrivningar på patent,asset,103,4,1,1,2025
1039,Ackumulerade avskrivningar på patent,asset,103,4,1,1,2025
104,Licenser,asset,10,3,0,1,2025
1040,Licenser,asset,104,4,1,1,2025
1048,Ackumulerade nedskrivningar på licenser,asset,104,4,1,1,2025
1049,Ackumulerade avskrivningar på licenser,asset,104,4,1,1,2025
105,Varumärken,asset,10,3,0,1,2025
1050,Varumärken,asset,105,4,1,1,2025
1058,Ackumulerade nedskrivningar på varumärken,asset,105,4,1,1,2025
1059,Ackumulerade avskrivningar på varumärken,asset,105,4,1,1,2025
106,"Hyresrätter, tomträtter och liknande",asset,10,3,0,1,2025
1060,"Hyresrätter, tomträtter och liknande",asset,106,4,1,1,2025
1068,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande",asset,106,4,1,1,2025
1069,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande",asset,106,4,1,1,2025
107,Goodwill,asset,10,3,0,1,2025
1070,Goodwill,asset,107,4,1,1,2025
1078,Ackumulerade nedskrivningar på goodwill,asset,107,4,1,1,2025
1079,Ackumulerade avskrivningar på goodwill,asset,107,4,1,1,2025
108,Förskott för immateriella anläggningstillgångar,asset,10,3,0,1,2025
1080,Förskott för immateriella anläggningstillgångar,asset,108,4,1,1,2025
1081,Pågående projekt för immateriella anläggningstillgångar,asset,108,4,1,1,2025
1088,Förskott för immateriella anläggningstillgångar,asset,108,4,1,1,2025
11,Byggnader och mark,asset,1,2,0,1,2025
111,Byggnader,asset,11,3,0,1,2025
1110,Byggnader,asset,111,4,1,1,2025
1111,Byggnader på egen mark,asset,111,4,1,1,2025
1112,Byggnader på annans mark,asset,111,4,1,1,2025
1118,Ackumulerade nedskrivningar på byggnader,asset,111,4,1,1,2025
1119,Ackumulerade avskrivningar på byggnader,asset,111,4,1,1,2025
112,Förbättringsutgifter på annans fastighet,asset,11,3,0,1,2025
1120,Förbättringsutgifter på annans fastighet,asset,112,4,1,1,2025
1129,Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet,asset,112,4,1,1,2025
113,Mark,asset,11,3,0,1,2025
1130,Mark,asset,113,4,1,1,2025
114,Tomter och obebyggda markområden,asset,11,3,0,1,2025
1140,Tomter och obebyggda markområden,asset,114,4,1,1,2025
115,Markanläggningar,asset,11,3,0,1,2025
1150,Markanläggningar,asset,115,4,1,1,2025
1158,Ackumulerade nedskrivningar på markanläggningar,asset,115,4,1,1,2025
1159,Ackumulerade avskrivningar på markanläggningar,asset,115,4,1,1,2025
118,Pågående nyanläggningar och förskott för byggnader och mark,asset,11,3,0,1,2025
1180,Pågående nyanläggningar och förskott för byggnader och mark,asset,118,4,1,1,2025
1181,"Pågående ny-, till- och ombyggnad",asset,118,4,1,1,2025
1188,Förskott för byggnader och mark,asset,118,4,1,1,2025
12,Maskiner och inventarier,asset,1,2,0,1,2025
121,Maskiner och andra tekniska anläggningar,asset,12,3,0,1,2025
1210,Maskiner och andra tekniska anläggningar,asset,121,4,1,1,2025
1211,Maskiner,asset,121,4,1,1,2025
1213,Andra tekniska anläggningar,asset,121,4,1,1,2025
1218,Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar,asset,121,4,1,1,2025
1219,Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar,asset,121,4,1,1,2025
122,Inventarier och verktyg,asset,12,3,0,1,2025
1220,Inventarier och verktyg,asset,122,4,1,1,2025
1221,Inventarier,asset,122,4,1,1,2025
1222,Byggnadsinventarier,asset,122,4,1,1,2025
1223,Markinventarier,asset,122,4,1,1,2025
1225,Verktyg,asset,122,4,1,1,2025
1228,Ackumulerade nedskrivningar på inventarier och verktyg,asset,122,4,1,1,2025
1229,Ackumulerade avskrivningar på inventarier och verktyg,asset,122,4,1,1,2025
123,Installationer,asset,12,3,0,1,2025
1230,Installationer,asset,123,4,1,1,2025
1231,Installationer på egen fastighet,asset,123,4,1,1,2025
1232,Installationer på annans fastighet,asset,123,4,1,1,2025
1238,Ackumulerade nedskrivningar på installationer,asset,123,4,1,1,2025
1239,Ackumulerade avskrivningar på installationer,asset,123,4,1,1,2025
124,Bilar och andra transportmedel,asset,12,3,0,1,2025
1240,Bilar och andra transportmedel,asset,124,4,1,1,2025
1241,Personbilar,asset,124,4,1,1,2025
1242,Lastbilar,asset,124,4,1,1,2025
1243,Truckar,asset,124,4,1,1,2025
1244,Arbetsmaskiner,asset,124,4,1,1,2025
1245,Traktorer,asset,124,4,1,1,2025
1246,"Motorcyklar, mopeder och skotrar",asset,124,4,1,1,2025
1247,"Båtar, flygplan och helikoptrar",asset,124,4,1,1,2025
1248,Ackumulerade nedskrivningar på bilar och andra transportmedel,asset,124,4,1,1,2025
1249,Ackumulerade avskrivningar på bilar och andra transportmedel,asset,124,4,1,1,2025
125,Datorer,asset,12,3,0,1,2025
1250,Datorer,asset,125,4,1,1,2025
1251,"Datorer, företaget",asset,125,4,1,1,2025
1257,"Datorer, personal",asset,125,4,1,1,2025
1258,Ackumulerade nedskrivningar på datorer,asset,125,4,1,1,2025
1259,Ackumulerade avskrivningar på datorer,asset,125,4,1,1,2025
126,Leasade tillgångar,asset,12,3,0,1,2025
1260,Leasade tillgångar,asset,126,4,1,1,2025
1269,Ackumulerade avskrivningar på leasade tillgångar,asset,126,4,1,1,2025
128,Pågående nyanläggningar och förskott för maskiner och inventarier,asset,12,3,0,1,2025
1280,Pågående nyanläggningar och förskott för maskiner och inventarier,asset,128,4,1,1,2025
1281,"Pågående nyanläggningar, maskiner och inventarier",asset,128,4,1,1,2025
1288,Förskott för maskiner och inventarier,asset,128,4,1,1,2025
129,Övriga materiella anläggningstillgångar,asset,12,3,0,1,2025
1290,Övriga materiella anläggningstillgångar,asset,129,4,1,1,2025
1291,Konst och liknande tillgångar,asset,129,4,1,1,2025
1292,Djur som klassificeras som anläggningstillgång,asset,129,4,1,1,2025
1298,Ackumulerade nedskrivningar på övriga materiella anläggningstillgångar,asset,129,4,1,1,2025
1299,Ackumulerade avskrivningar på övriga materiella anläggningstillgångar,asset,129,4,1,1,2025
13,Finansiella anläggningstillgångar,asset,1,2,0,1,2025
131,Andelar i koncernföretag,asset,13,3,0,1,2025
1310,Andelar i koncernföretag,asset,131,4,1,1,2025
1311,Aktier i noterade svenska koncernföretag,asset,131,4,1,1,2025
1312,Aktier i onoterade svenska koncernföretag,asset,131,4,1,1,2025
1313,Aktier i noterade utländska koncernföretag,asset,131,4,1,1,2025
1314,Aktier i onoterade utländska koncernföretag,asset,131,4,1,1,2025
1316,Andra andelar i svenska koncernföretag,asset,131,4,1,1,2025
1317,Andra andelar i utländska koncernförertag,asset,131,4,1,1,2025
1318,Ackumulerade nedskrivningar av andelar i koncernföretag,asset,131,4,1,1,2025
132,Långfristiga fordringar hos koncernföretag,asset,13,3,0,1,2025
1320,Långfristiga fordringar hos koncernföretag,asset,132,4,1,1,2025
1321,Långfristiga fordringar hos moderföretag,asset,132,4,1,1,2025
1322,Långfristiga fordringar hos dotterföretag,asset,132,4,1,1,2025
1323,Långfristiga fordringar hos andra koncernföretag,asset,132,4,1,1,2025
